# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sat Oct 31 01:06:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.8116e-05 -2.19174 9.84510 0.1000000015 1.1711064577    0.100 -2.785  3.5580  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.477e-01 2.522e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 11.734 15.938 14.479 12.920 11.844 10.979 9.995 9.599 9.483
9.8116e-05 -2.19174 9.84510 0.1098214313 1.2482755184    0.109 -2.637  3.5733  5.359    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-16      0.00 7.467e-01 2.532e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 11.362 15.068 13.834 12.405 11.405 10.622 9.679 9.233 9.106
9.8116e-05 -2.19174 9.84510 0.1294642836 1.3786746264    0.129 -2.397  3.5959  5.281    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.762 13.840 12.883 11.621 10.738 10.034 9.156 8.659 8.513
9.8116e-05 -2.19174 9.84510 0.1491071582 1.4855960608    0.149 -2.238  3.6072  5.230    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.57e-16      0.00 7.435e-01 2.564e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.366 13.168 12.331 11.141 10.313 9.639 8.796 8.285 8.129
9.8116e-05 -2.19174 9.84510 0.1687500030 1.5756140947    0.168 -2.115  3.6146  5.189    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.99e-16      0.00 7.427e-01 2.572e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.057 12.693 11.929 10.781 9.986 9.332 8.511 7.995 7.834
9.8116e-05 -2.19174 9.84510 0.2080357224 1.7204496861    0.207 -1.912  3.6257  5.121    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-16      0.00 7.420e-01 2.579e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.549 11.946 11.287 10.198 9.451 8.824 8.036 7.519 7.355
9.8116e-05 -2.19174 9.84510 0.2571428716 1.8581268787    0.257 -1.719  3.6358  5.061    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-15      0.00 7.420e-01 2.579e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.068 11.261 10.693 9.652 8.946 8.342 7.584 7.073 6.910
9.8116e-05 -2.19174 9.84510 0.3062500358 1.9652637243    0.306 -1.569  3.6440  5.021    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-15      0.00 7.421e-01 2.578e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.693 10.728 10.232 9.227 8.552 7.967 7.234 6.731 6.572
9.8116e-05 -2.19174 9.84510 0.3553571701 2.0521113873    0.355 -1.445  3.6517  4.992    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-15      0.00 7.430e-01 2.569e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.383 10.277 9.846 8.874 8.225 7.657 6.946 6.452 6.298
9.8116e-05 -2.19174 9.84510 0.4044643044 2.1246092319    0.404 -1.331  3.6598  4.967    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.097 9.848 9.484 8.545 7.923 7.371 6.684 6.200 6.053
